cid,boiling_point_c,vapor_pressure_mmhg,error
62510,158.0,,
91375,,,
9815489,209.0,0.1275,
25054,242.222,0.0225,
118199,,,
109457,160.0,,
106749,,,
284,100.722,42.59,
11970928,,,
6440993,,,
6914062,,,
91147,,,
94335,,,
94014,,,
8907,342.0,0.0001,
62825,,,
118119,,,
110371,,,
95594,,,
89479,,,
37066,,,
121232773,,,
121731,119.0,,
1796220,,,
112494,,,
8906,142.0,0.0012,
62118,,,
19223,,,
8858,130.0,8.21,
5370602,,,
540124,,,
35785,,,
8134,193.889,0.25,
105510,,,
7456,275.0,0.0002,
76152,,,
6435903,,,
67005,,,
62329,,0.0,
161675,,,
5354882,113.5,,
172501,,,
6112709,,,
74879,,,
43046,,,
75187,224.5,,
25812,,,
121777,,,
10819,,,
106442,,,
173535,,,
50216,,,
91115,,,
7175,294.5,0.0006,
103401,,,
8833,,,
11095260,,,
105179,,,
517055,450.0,,
9920343,,,
44152459,,,
7501,145.5,6.4,
656582,,,
61006,221.5,,
160138,,,
534931,,,
62328,274.5,,
110747,197.5,,
89385,,,
36822,109.5,,
109332,,,
26042,2750.0,0.0,
23284,380.0,,
91696,,,
5282708,,,
5283349,,,
7618,335.4,0.0,
3034463,,,
3034893,,,
109455,154.0,,
94608,,,
84398,,,
105392,,,
2116,210.0,,
2117,,,
59870763,,,
26412,,,
170284,,,
3034267,,,
9815980,,,
6437808,,,
162627,,,
15433,,0.0,
8177,231.111,0.06,
57483300,,,
105764,,,
5352162,239.5,,
109261,,,
8201,181.5,0.0,
102820,,,
85724,,,
20219,87.5,,
118521,,,
12085802,,,
20058852,,,
6430180,,,
5375215,,,
31954,,,
9859093,,,
8343,383.889,0.0,
6857681,312.0,,
7341,,0.44,
22932,383.0,0.0,
3014024,,,
35821,,,
109417,,,
5463911,135.0,,
94579,,,
24513,218.0,,
6285057,,,
5362695,,,
50941,,,
6364671,,,
25238,,,
97799,,,
13750367,,,
101023,,,
62485,,,
11264493,,,
94623,,,
161949,,,
93221,,,
5284359,1935.0,,
102681,,,
9794495,,,
23716,,,
5367682,108.5,,
8437,226.0,0.09,
61930,,,
61319,124.5,,
62331,,,
15797,300.0,0.0,
904,304.0,0.0012,
79409,,,
5363229,100.0,,
15031854,,,
108424,,,
33344,,0.018,
637497,,,
74937,,,
7076215,,,
24261,2230.0,0.0,
119890,,,
31416,,,
6436546,,,
53470669,,,
6453423,,,
86750,,,
78903,,,
516892,,,
28358,,,
74360,,,
3766139,,,
12174,135.0,,
109641,,,
5353011,,,
49968,,,
236687,,,
162297,,,
6438070,115.0,,
33263,,,
61018,,,
170841464,,,
83511,,,
17877030,,,
106787,,,
44153347,,,
45933907,,,
7197,228.0,0.05,
250096,,,
7336,79.0,,
60990,223.0,,
650,87.5,57.0048,
1068,37.3,502.0,
62725,,,
11579,245.5,,
3033452,,,
61982,59.0,,
103005,,,
6427135,37.0,,
5354280,312.5,,
5362588,,,
19310,,,
7363,264.0,,
62444,142.5,,
11002,185.5,1.2,
61953,70.0,,
92221,,,
62453,,,
61401,130.0,,
14344497,,,
10130039,,,
75695,,,
12662,,,
15559490,,,
75320,286.5,,
167312552,,,
168009828,,,
20836197,,,
51040,,0.0,
162130518,,,
38049,,,
6435059,,,
6445555,,,
6437138,,,
106164,,,
106871,,,
3023551,,,
84614,,,
155771,,,
117549,,,
736889,,,
100031,,,
107512,,,
107334,,,
107129,,,
5271566,218.0,,
28818,,,
5365836,,,
5355715,,,
6436491,,,
212930,113.611,0.33,
5283316,90.5,,
69694,,,
5365137,76.0,,
6436486,,,
94453,,,
5803450,278.0,,
66595,351.0,,
64812,,,
67350,,,
6438041,,,
7678,214.0,0.22,
7169,,,
1757003,,,
94373,,,
6385721,,,
111516,,,
111783,,,
83177,,,
162458,,,
15172,,,
5364526,,,
108355,,,
106731,,,
6455034,,,
522171,,,
86854,,,
118112,,,
53722795,,,
67367311,,,
86002,,,
5875676,,,
62337,,,
58240624,,,
21159742,,,
71586960,,,
20554059,,,
79662,,,
10997258,,,
103825,,,
643941,20.0,,
70694,,,
61275,201.5,,
109244,,,
83442,,,
103719,,,
552119,148.0,,
114523,,,
100938,,,
103447,,,
166527,,,
6434062,,,
243675,270.0,,
11517,,,
106673,,,
44182035,178.0,,
25311,134.0,,
25325,,,
8012,98.5,45.5,
8180,227.889,,
19872333,,,
11085337,166.5,,
83367,,,
61663,,,
83655,233.0,,
139743,,,
8761,,,
84804,,,
27209,295.5,,
5364752,,,
85519,201.5,,
5363203,192.5,,
87813,62.0,,
5282709,226.0,,
117477,161.5,,
76326,156.5,,
5367391,,,
570574,,,
77117,,,
88168807,,,
19754,,,
65288,,,
20858,,,
62553,253.056,,
103788,162.5,,
104513,,,
62069,60.0,,
10925,119.5,,
1567,157.5,1.756,
11950,,,
101144,,,
22571,,,
237332,115.0,0.0053,
109640,,,
6343,34.389,529.0,
6387,66.111,181.0,
7002,243.0,0.067,
7148,218.0,1.5,
641248,,,
94403,,,
8835,245.0,,
97707,,,
931,218.0,0.0825,
95136,,,
4114,,,
5585,,,
97708,,,
109323,,,
62624,,,
11789380,,,
12022011,,,
11064349,,,
22713151,,,
14166207,,,
6930,,,
102714,,,
31241,163.389,2.0,
7093102,,,
62472,,,
24680,,,
5280443,,,
21960447,,,
5590,,,
443314,,,
8202,,,
33022,,,
162275,,,
9875143,,,
528108,,,
8843,,,
154733642,,,
6787,412.778,1.0,
11100884,,,
91333377,,,
168010165,,,
62142,,,
24750,,,
443315,,,
86375,,,
16492,,,
173058,,,
23194,316.111,0.0002,
15771,,,
73245,,,
3450992,,,
168009820,,,
144074858,,,
160426012,,,
313,-85.05,424.0,
168266236,,,
10569,250.0,,
119026203,,,
949,193.889,0.7,
7900,120.0,11.8,
5416,-153.0,,
166486,,,
77509,,,
92862,,,
5363205,,,
20797,,,
92013,,,
